outcome,photo_quality,item,retail_price,vacuum,towel_hook,age,gender,marital,employment
,0,knife_set_0,25,100,5,2,6,1,1
,0,knife_set_0,25,100,9,3,6,1,1
,0,knife_set_0,25,80,1,3,5,2,1
25,0,knife_set_0,25,50,0,2,5,1,1
,0,knife_set_0,25,100,5,2,6,1,1
,0,knife_set_0,25,60,3,2,6,1,3
,0,knife_set_0,25,100,5,2,6,1,1
15,0,knife_set_0,25,145,4,2,6,1,1
,0,knife_set_0,25,30,2,2,6,1,1
,0,knife_set_0,25,90,3,2,6,1,1
,0,knife_set_0,25,100,2,3,5,1,1
,0,knife_set_0,25,60,1,2,6,1,1
,0,knife_set_0,25,40,3,4,5,2,1
,0,knife_set_0,25,75,2,3,5,1,1
25,0,knife_set_0,25,60,9,3,5,1,1
,0,knife_set_0,25,5,1,3,5,1,1
,0,knife_set_0,25,100,5,2,6,1,1
20,0,knife_set_0,25,100,3,2,6,1,3
15,0,knife_set_0,25,25,3,2,6,1,1
12,0,knife_set_0,25,75,4,3,6,1,1
25,0,knife_set_0,25,80,5,3,6,2,1
20,0,knife_set_0,25,100,1,3,6,2,1
,0,knife_set_0,25,25,2,3,6,1,3
,0,knife_set_0,25,150,5,3,6,1,1
,0,knife_set_0,25,135,5,3,6,2,1
20,0,knife_set_0,25,100,2,3,6,1,1
,0,knife_set_0,25,80,3,3,6,1,3
,0,knife_set_0,25,50,2,3,6,1,1
5,0,knife_set_0,25,20,0,3,5,1,1
,0,knife_set_0,25,120,5,3,6,1,1
5,0,knife_set_0,25,20,1,3,6,1,1
10,0,knife_set_0,25,50,2,3,5,1,1
,0,knife_set_0,25,75,2,3,6,1,1
,0,knife_set_0,25,80,2,3,5,1,1
20,0,knife_set_0,25,100,7,3,6,1,4
,0,knife_set_0,25,35,0,3,6,1,1
15,0,knife_set_0,25,50,4,3,6,1,2
20,0,knife_set_0,25,120,5,3,6,1,1
,0,knife_set_0,25,120,2,2,6,1,2
,0,knife_set_0,25,80,4,2,6,1,4
10,0,knife_set_0,25,100,5,3,5,1,1
,0,knife_set_0,25,100,0,2,6,1,1
,0,knife_set_0,25,120,2,3,5,1,1
15,0,knife_set_0,25,80,3,2,6,1,1
,0,knife_set_0,25,55,3,3,6,2,4
20,0,knife_set_0,25,125,5,3,5,2,1
,0,knife_set_0,25,50,1,3,5,2,1
,0,knife_set_0,25,110,5,3,5,1,1
15,0,knife_set_0,25,90,9,3,6,1,1
20,0,knife_set_0,25,60,1,3,6,1,1
10,0,knife_set_0,25,80,3,3,6,1,1
,0,knife_set_0,25,75,1,3,5,1,1
15,0,knife_set_0,25,50,1,3,6,1,1
20,0,knife_set_0,25,40,0,2,6,1,1
15,0,knife_set_0,25,100,1,3,6,1,3
,0,knife_set_0,25,75,1,3,5,1,1
,0,knife_set_0,25,80,0,3,5,2,1
,0,knife_set_0,25,80,5,3,6,1,1
3,0,knife_set_0,25,50,1,3,6,1,1
,0,knife_set_0,25,75,2,3,5,1,1
10,0,knife_set_0,25,40,1,3,6,1,1
20,0,knife_set_0,25,75,3,3,6,1,1
15,0,knife_set_0,25,50,3,2,5,1,4
20,0,knife_set_0,25,125,5,2,6,1,1
,0,knife_set_0,25,70,2,3,6,1,1
25,0,knife_set_0,25,100,0,6,5,2,1
,0,knife_set_0,25,65,3,4,6,2,1
10,0,knife_set_0,25,50,2,3,6,1,1
,0,knife_set_0,25,50,2,3,5,2,1
,0,knife_set_0,25,95,1,3,5,2,1
,0,knife_set_0,25,80,3,3,6,1,1
,0,knife_set_0,25,40,2,2,5,1,4
,0,knife_set_0,25,75,2,3,5,1,1
15,0,knife_set_0,25,150,2,3,6,1,1
,0,knife_set_0,25,45,4,2,6,1,1
,0,knife_set_0,25,40,1,3,5,2,1
4,0,knife_set_0,25,40,1,5,5,2,1
10,0,knife_set_0,25,45,4,3,6,2,1
,0,knife_set_0,25,80,2,6,6,1,1
10,0,knife_set_0,25,75,2,3,6,1,1
,0,knife_set_0,25,90,5,3,6,1,1
,0,knife_set_0,25,120,1,3,6,1,1
20,0,knife_set_0,25,100,3,3,5,1,1
10,0,knife_set_0,25,50,4,3,6,1,1
,0,knife_set_0,25,50,3,3,6,2,1
,0,knife_set_0,25,50,5,3,6,1,1
20,0,knife_set_0,25,100,3,3,5,2,1
18,0,knife_set_0,25,100,5,2,5,1,1
,0,knife_set_0,25,140,5,2,5,1,1
10,0,knife_set_0,25,30,4,3,6,1,1
10,0,knife_set_0,25,80,1,3,6,1,1
,0,knife_set_0,25,20,3,6,5,2,1
5,0,knife_set_0,25,50,3,6,6,2,3
,0,knife_set_0,25,125,5,3,5,2,2
,0,knife_set_0,25,120,5,3,5,1,1
,0,knife_set_0,25,75,2,5,6,2,3
20,0,knife_set_0,25,100,2,3,6,1,1
,0,knife_set_0,25,50,3,6,5,1,5
,0,knife_set_0,25,80,3,4,5,2,1
15,0,knife_set_0,25,70,5,3,6,1,1
15,0,knife_set_0,25,125,3,3,6,1,1
,0,knife_set_0,25,100,3,3,6,1,1
,0,knife_set_0,25,85,5,3,5,2,1
,0,knife_set_0,25,100,5,3,5,1,1
,0,knife_set_0,25,97,4,3,5,1,1
,0,knife_set_0,25,50,1,2,5,1,1
,0,knife_set_0,25,150,0,3,5,1,1
10,0,knife_set_0,25,50,4,3,5,1,1
,0,knife_set_0,25,60,0,3,5,1,1
,0,knife_set_0,25,50,3,3,6,1,1
,0,knife_set_0,25,125,5,3,6,1,3
,0,knife_set_0,25,50,1,3,5,2,1
,0,knife_set_0,25,65,1,4,5,1,1
,0,knife_set_0,25,50,3,3,6,1,1
5,0,knife_set_0,25,50,0,3,5,2,1
,0,knife_set_0,25,50,1,4,6,2,1
20,0,knife_set_0,25,100,5,2,5,1,1
,0,knife_set_0,25,75,2,2,6,1,3
,0,knife_set_0,25,130,2,2,6,1,1
,0,knife_set_0,25,150,5,3,5,1,1
0,0,knife_set_0,25,50,1,5,6,2,1
10,0,knife_set_0,25,50,1,3,5,1,1
15,0,knife_set_0,25,85,4,3,6,1,1
24,0,knife_set_0,25,120,4,2,9,1,4
25,0,knife_set_0,25,40,3,3,5,2,1
,0,knife_set_0,25,100,5,7,5,2,1
25,0,knife_set_0,25,100,1,4,5,1,1
25,0,knife_set_0,25,50,5,3,5,3,1
,0,knife_set_0,25,100,3,3,5,2,1
,0,knife_set_0,25,150,5,3,6,1,1
,0,knife_set_0,25,100,2,3,5,1,1
10,0,knife_set_0,25,100,4,3,5,1,1
25,0,knife_set_0,25,100,5,3,6,1,1
15,0,knife_set_0,25,130,5,3,6,2,1
20,0,knife_set_0,25,140,4,3,6,1,1
5,0,knife_set_0,25,75,2,3,6,1,4
12,0,knife_set_0,25,70,1,3,6,1,1
15,0,knife_set_0,25,65,5,3,6,2,2
,0,knife_set_0,25,100,0,3,6,1,1
8,0,knife_set_0,25,40,2,2,6,1,1
25,0,knife_set_0,25,120,8,2,6,1,1
5,0,knife_set_0,25,80,1,3,5,1,1
20,0,knife_set_0,25,80,2,3,6,1,1
15,0,knife_set_0,25,100,5,3,5,1,1
,0,knife_set_0,25,100,4,2,5,1,1
15,0,knife_set_0,25,50,3,3,6,1,4
15,0,knife_set_0,25,50,2,3,6,1,1
,0,knife_set_0,25,40,4,3,6,1,1
,0,knife_set_0,25,60,2,3,6,2,1
5,0,knife_set_0,25,48,1,3,6,2,1
5,0,knife_set_0,25,25,1,3,6,1,1
15,0,knife_set_0,25,26,1,4,5,2,1
,0,knife_set_0,25,120,5,3,5,1,1
10,0,knife_set_0,25,50,2,3,5,1,1
10,0,knife_set_0,25,70,1,5,5,2,1
,0,knife_set_0,25,90,2,2,6,1,1
,0,knife_set_0,25,30,2,3,6,1,2
15,1,knife_set_1,25,140,5,2,5,1,1
10,1,knife_set_1,25,50,1,3,6,2,1
,1,knife_set_1,25,100,2,3,5,2,2
20,1,knife_set_1,25,100,5,3,5,2,1
15,1,knife_set_1,25,40,2,3,5,2,1
,1,knife_set_1,25,50,0,3,5,2,1
,1,knife_set_1,25,30,1,3,6,2,1
,1,knife_set_1,25,60,1,2,5,1,1
,1,knife_set_1,25,30,1,3,6,1,1
,1,knife_set_1,25,150,1,3,5,1,1
10,1,knife_set_1,25,100,3,3,6,1,1
20,1,knife_set_1,25,40,3,3,6,2,1
20,1,knife_set_1,25,130,3,3,6,2,1
,1,knife_set_1,25,30,1,3,5,1,1
15,1,knife_set_1,25,110,3,3,5,1,1
10,1,knife_set_1,25,90,2,1,5,1,2
10,1,knife_set_1,25,50,5,1,5,1,2
,1,knife_set_1,25,45,1,3,6,1,1
15,1,knife_set_1,25,125,5,3,6,1,1
25,1,knife_set_1,25,20,2,3,5,1,1
,1,knife_set_1,25,100,3,3,5,1,1
,1,knife_set_1,25,75,1,3,5,1,1
,1,knife_set_1,25,50,5,3,5,2,1
,1,knife_set_1,25,100,9,3,5,1,1
5,1,knife_set_1,25,30,1,4,6,1,1
,1,knife_set_1,25,75,3,3,6,1,2
20,1,knife_set_1,25,100,3,3,6,1,1
,1,knife_set_1,25,125,2,3,5,1,1
,1,knife_set_1,25,40,1,3,6,1,1
15,1,knife_set_1,25,125,1,3,5,1,1
15,1,knife_set_1,25,40,0,3,6,1,1
15,1,knife_set_1,25,150,4,3,6,1,1
20,1,knife_set_1,25,100,2,3,5,1,1
,1,knife_set_1,25,80,5,3,5,1,1
20,1,knife_set_1,25,125,5,3,6,1,1
,1,knife_set_1,25,150,4,3,6,1,1
,1,knife_set_1,25,50,1,3,5,2,1
15,1,knife_set_1,25,100,3,3,6,1,1
20,1,knife_set_1,25,70,2,3,6,1,4
,1,knife_set_1,25,50,3,3,5,1,1
,1,knife_set_1,25,10,0,3,5,1,1
,1,knife_set_1,25,120,0,3,5,1,1
10,1,knife_set_1,25,80,2,3,6,1,1
,1,knife_set_1,25,60,2,3,6,1,1
10,1,knife_set_1,25,50,1,3,6,1,1
10,1,knife_set_1,25,70,3,3,6,2,1
10,1,knife_set_1,25,50,1,4,6,2,1
20,1,knife_set_1,25,50,1,3,6,1,1
,1,knife_set_1,25,50,3,2,6,1,1
15,1,knife_set_1,25,140,4,3,6,1,1
10,1,knife_set_1,25,90,5,3,5,1,1
,1,knife_set_1,25,90,2,3,6,1,1
15,1,knife_set_1,25,120,2,3,6,2,4
15,1,knife_set_1,25,50,2,3,6,1,1
,1,knife_set_1,25,50,2,3,6,1,1
,1,knife_set_1,25,120,3,6,5,2,1
20,1,knife_set_1,25,100,5,6,6,2,1
,1,knife_set_1,25,60,1,5,5,2,1
17,1,knife_set_1,25,100,4,3,6,2,1
25,1,knife_set_1,25,125,3,3,5,1,1
25,1,knife_set_1,25,80,3,3,6,2,1
,1,knife_set_1,25,30,2,3,6,1,4
,1,knife_set_1,25,80,2,3,5,2,1
,1,knife_set_1,25,125,1,3,5,2,1
20,1,knife_set_1,25,75,3,3,6,2,3
,1,knife_set_1,25,45,2,3,6,2,5
,1,knife_set_1,25,35,1,3,6,1,2
,1,knife_set_1,25,70,2,3,6,1,1
,1,knife_set_1,25,75,3,3,6,1,1
,1,knife_set_1,25,50,2,3,6,3,5
15,1,knife_set_1,25,100,3,2,5,1,1
,1,knife_set_1,25,90,2,3,6,1,4
,1,knife_set_1,25,100,5,3,5,1,1
,1,knife_set_1,25,120,5,3,5,1,1
15,1,knife_set_1,25,50,5,3,6,1,1
,1,knife_set_1,25,100,5,3,6,2,1
,1,knife_set_1,25,30,2,6,6,1,1
,1,knife_set_1,25,95,1,5,5,2,1
10,1,knife_set_1,25,35,3,3,6,2,4
20,1,knife_set_1,25,120,5,3,5,2,1
,1,knife_set_1,25,75,2,3,6,1,1
12,1,knife_set_1,25,50,1,3,6,1,1
,1,knife_set_1,25,50,3,3,6,1,1
,1,knife_set_1,25,125,3,3,6,1,1
10,1,knife_set_1,25,50,2,5,6,1,1
,1,knife_set_1,25,50,1,2,5,1,1
,1,knife_set_1,25,80,1,3,5,1,4
,1,knife_set_1,25,110,4,2,6,1,1
20,1,knife_set_1,25,100,4,2,6,1,1
15,1,knife_set_1,25,85,4,3,6,2,1
20,1,knife_set_1,25,100,5,2,6,1,1
25,1,knife_set_1,25,100,9,3,6,1,1
5,1,knife_set_1,25,80,1,3,5,2,1
,1,knife_set_1,25,50,0,2,5,1,1
15,1,knife_set_1,25,100,5,2,6,1,1
15,1,knife_set_1,25,60,3,2,6,1,3
20,1,knife_set_1,25,100,5,2,6,1,1
,1,knife_set_1,25,145,4,2,6,1,1
10,1,knife_set_1,25,30,2,2,6,1,1
20,1,knife_set_1,25,90,3,2,6,1,1
10,1,knife_set_1,25,100,2,3,5,1,1
10,1,knife_set_1,25,60,1,2,6,1,1
12,1,knife_set_1,25,40,3,4,5,2,1
10,1,knife_set_1,25,75,2,3,5,1,1
,1,knife_set_1,25,60,9,3,5,1,1
3,1,knife_set_1,25,5,1,3,5,1,1
20,1,knife_set_1,25,100,5,2,6,1,1
,1,knife_set_1,25,100,3,2,6,1,3
,1,knife_set_1,25,25,3,2,6,1,1
,1,knife_set_1,25,75,4,3,6,1,1
,1,knife_set_1,25,80,5,3,6,2,1
,1,knife_set_1,25,100,1,3,6,2,1
5,1,knife_set_1,25,25,2,3,6,1,3
25,1,knife_set_1,25,150,5,3,6,1,1
15,1,knife_set_1,25,135,5,3,6,2,1
,1,knife_set_1,25,100,2,3,6,1,1
15,1,knife_set_1,25,80,3,3,6,1,3
15,1,knife_set_1,25,50,2,3,6,1,1
,1,knife_set_1,25,20,0,3,5,1,1
18,1,knife_set_1,25,120,5,3,6,1,1
,1,knife_set_1,25,20,1,3,6,1,1
,1,knife_set_1,25,50,2,3,5,1,1
7,1,knife_set_1,25,75,2,3,6,1,1
10,1,knife_set_1,25,80,2,3,5,1,1
,1,knife_set_1,25,100,7,3,6,1,4
10,1,knife_set_1,25,35,0,3,6,1,1
,1,knife_set_1,25,50,4,3,6,1,2
,1,knife_set_1,25,120,5,3,6,1,1
15,1,knife_set_1,25,120,2,2,6,1,2
10,1,knife_set_1,25,80,4,2,6,1,4
,1,knife_set_1,25,100,5,3,5,1,1
15,1,knife_set_1,25,100,0,2,6,1,1
10,1,knife_set_1,25,120,2,3,5,1,1
,1,knife_set_1,25,80,3,2,6,1,1
20,1,knife_set_1,25,55,3,3,6,2,4
,1,knife_set_1,25,125,5,3,5,2,1
10,1,knife_set_1,25,50,1,3,5,2,1
15,1,knife_set_1,25,110,5,3,5,1,1
,1,knife_set_1,25,90,9,3,6,1,1
,1,knife_set_1,25,60,1,3,6,1,1
,1,knife_set_1,25,80,3,3,6,1,1
8,1,knife_set_1,25,75,1,3,5,1,1
,1,knife_set_1,25,50,1,3,6,1,1
,1,knife_set_1,25,40,0,2,6,1,1
,1,knife_set_1,25,100,1,3,6,1,3
15,1,knife_set_1,25,75,1,3,5,1,1
5,1,knife_set_1,25,80,0,3,5,2,1
20,1,knife_set_1,25,80,5,3,6,1,1
,1,knife_set_1,25,50,1,3,6,1,1
10,1,knife_set_1,25,75,2,3,5,1,1
,1,knife_set_1,25,40,1,3,6,1,1
,1,knife_set_1,25,75,3,3,6,1,1
,1,knife_set_1,25,50,3,2,5,1,4
,1,knife_set_1,25,125,5,2,6,1,1
10,1,knife_set_1,25,70,2,3,6,1,1
,1,knife_set_1,25,100,0,6,5,2,1
15,1,knife_set_1,25,65,3,4,6,2,1
,1,knife_set_1,25,50,2,3,6,1,1
20,1,knife_set_1,25,50,2,3,5,2,1
15,1,knife_set_1,25,95,1,3,5,2,1
25,1,knife_set_1,25,80,3,3,6,1,1
10,1,knife_set_1,25,40,2,2,5,1,4
10,1,knife_set_1,25,75,2,3,5,1,1
,1,knife_set_1,25,150,2,3,6,1,1
25,1,knife_set_1,25,45,4,2,6,1,1
10,1,knife_set_1,25,40,1,3,5,2,1
,1,knife_set_1,25,40,1,5,5,2,1
,1,knife_set_1,25,45,4,3,6,2,1
10,1,knife_set_1,25,80,2,6,6,1,1
,1,knife_set_1,25,75,2,3,6,1,1
15,1,knife_set_1,25,90,5,3,6,1,1
5,1,knife_set_1,25,120,1,3,6,1,1
,1,knife_set_1,25,100,3,3,5,1,1
,1,knife_set_1,25,50,4,3,6,1,1
10,1,knife_set_1,25,50,3,3,6,2,1
15,1,knife_set_1,25,50,5,3,6,1,1
,1,knife_set_1,25,100,3,3,5,2,1
,1,knife_set_1,25,100,5,2,5,1,1
25,1,knife_set_1,25,140,5,2,5,1,1
,1,knife_set_1,25,30,4,3,6,1,1
,1,knife_set_1,25,80,1,3,6,1,1
18,1,knife_set_1,25,20,3,6,5,2,1
,1,knife_set_1,25,50,3,6,6,2,3
25,1,knife_set_1,25,125,5,3,5,2,2
20,1,knife_set_1,25,120,5,3,5,1,1
10,1,knife_set_1,25,75,2,5,6,2,3
,1,knife_set_1,25,100,2,3,6,1,1
6,1,knife_set_1,25,50,3,6,5,1,5
20,1,knife_set_1,25,80,3,4,5,2,1
,1,knife_set_1,25,70,5,3,6,1,1
,1,knife_set_1,25,125,3,3,6,1,1
17,1,knife_set_1,25,100,3,3,6,1,1
15,1,knife_set_1,25,85,5,3,5,2,1
10,1,knife_set_1,25,100,5,3,5,1,1
22,1,knife_set_1,25,97,4,3,5,1,1
5,1,knife_set_1,25,50,1,2,5,1,1
10,1,knife_set_1,25,150,0,3,5,1,1
,1,knife_set_1,25,50,4,3,5,1,1
10,1,knife_set_1,25,60,0,3,5,1,1
25,1,knife_set_1,25,50,3,3,6,1,1
15,1,knife_set_1,25,125,5,3,6,1,3
12,1,knife_set_1,25,50,1,3,5,2,1
10,1,knife_set_1,25,65,1,4,5,1,1
10,1,knife_set_1,25,50,3,3,6,1,1
,1,knife_set_1,25,50,0,3,5,2,1
10,1,knife_set_1,25,50,1,4,6,2,1
,1,knife_set_1,25,100,5,2,5,1,1
10,1,knife_set_1,25,75,2,2,6,1,3
15,1,knife_set_1,25,130,2,2,6,1,1
20,1,knife_set_1,25,150,5,3,5,1,1
,1,knife_set_1,25,50,1,5,6,2,1
,1,knife_set_1,25,50,1,3,5,1,1
,1,knife_set_1,25,85,4,3,6,1,1
,1,knife_set_1,25,120,4,2,9,1,4
,1,knife_set_1,25,40,3,3,5,2,1
5,1,knife_set_1,25,100,5,7,5,2,1
,1,knife_set_1,25,100,1,4,5,1,1
,1,knife_set_1,25,50,5,3,5,3,1
15,1,knife_set_1,25,100,3,3,5,2,1
25,1,knife_set_1,25,150,5,3,6,1,1
15,1,knife_set_1,25,100,2,3,5,1,1
,1,knife_set_1,25,100,4,3,5,1,1
,1,knife_set_1,25,100,5,3,6,1,1
,1,knife_set_1,25,130,5,3,6,2,1
,1,knife_set_1,25,140,4,3,6,1,1
,1,knife_set_1,25,75,2,3,6,1,4
,1,knife_set_1,25,70,1,3,6,1,1
,1,knife_set_1,25,65,5,3,6,2,2
15,1,knife_set_1,25,100,0,3,6,1,1
,1,knife_set_1,25,40,2,2,6,1,1
,1,knife_set_1,25,120,8,2,6,1,1
,1,knife_set_1,25,80,1,3,5,1,1
,1,knife_set_1,25,80,2,3,6,1,1
,1,knife_set_1,25,100,5,3,5,1,1
15,1,knife_set_1,25,100,4,2,5,1,1
,1,knife_set_1,25,50,3,3,6,1,4
,1,knife_set_1,25,50,2,3,6,1,1
12,1,knife_set_1,25,40,4,3,6,1,1
20,1,knife_set_1,25,60,2,3,6,2,1
,1,knife_set_1,25,48,1,3,6,2,1
,1,knife_set_1,25,25,1,3,6,1,1
,1,knife_set_1,25,26,1,4,5,2,1
15,1,knife_set_1,25,120,5,3,5,1,1
,1,knife_set_1,25,50,2,3,5,1,1
,1,knife_set_1,25,70,1,5,5,2,1
15,1,knife_set_1,25,90,2,2,6,1,1
10,1,knife_set_1,25,30,2,3,6,1,2
40,0,office_chair_0,86,140,5,2,5,1,1
25,0,office_chair_0,86,50,1,3,6,2,1
30,0,office_chair_0,86,100,2,3,5,2,2
50,0,office_chair_0,86,100,5,3,5,2,1
,0,office_chair_0,86,40,2,3,5,2,1
,0,office_chair_0,86,50,0,3,5,2,1
,0,office_chair_0,86,30,1,3,6,2,1
,0,office_chair_0,86,60,1,2,5,1,1
20,0,office_chair_0,86,30,1,3,6,1,1
75,0,office_chair_0,86,150,1,3,5,1,1
,0,office_chair_0,86,100,3,3,6,1,1
,0,office_chair_0,86,40,3,3,6,2,1
70,0,office_chair_0,86,130,3,3,6,2,1
,0,office_chair_0,86,30,1,3,5,1,1
45,0,office_chair_0,86,110,3,3,5,1,1
,0,office_chair_0,86,90,2,1,5,1,2
,0,office_chair_0,86,50,5,1,5,1,2
,0,office_chair_0,86,45,1,3,6,1,1
60,0,office_chair_0,86,125,5,3,6,1,1
,0,office_chair_0,86,20,2,3,5,1,1
,0,office_chair_0,86,100,3,3,5,1,1
,0,office_chair_0,86,75,1,3,5,1,1
,0,office_chair_0,86,50,5,3,5,2,1
50,0,office_chair_0,86,100,9,3,5,1,1
10,0,office_chair_0,86,30,1,4,6,1,1
35,0,office_chair_0,86,75,3,3,6,1,2
50,0,office_chair_0,86,100,3,3,6,1,1
,0,office_chair_0,86,125,2,3,5,1,1
15,0,office_chair_0,86,40,1,3,6,1,1
75,0,office_chair_0,86,125,1,3,5,1,1
,0,office_chair_0,86,40,0,3,6,1,1
,0,office_chair_0,86,150,4,3,6,1,1
,0,office_chair_0,86,100,2,3,5,1,1
,0,office_chair_0,86,80,5,3,5,1,1
,0,office_chair_0,86,125,5,3,6,1,1
,0,office_chair_0,86,150,4,3,6,1,1
,0,office_chair_0,86,50,1,3,5,2,1
50,0,office_chair_0,86,100,3,3,6,1,1
,0,office_chair_0,86,70,2,3,6,1,4
30,0,office_chair_0,86,50,3,3,5,1,1
10,0,office_chair_0,86,10,0,3,5,1,1
,0,office_chair_0,86,120,0,3,5,1,1
,0,office_chair_0,86,80,2,3,6,1,1
50,0,office_chair_0,86,60,2,3,6,1,1
,0,office_chair_0,86,50,1,3,6,1,1
20,0,office_chair_0,86,70,3,3,6,2,1
20,0,office_chair_0,86,50,1,4,6,2,1
,0,office_chair_0,86,50,1,3,6,1,1
30,0,office_chair_0,86,50,3,2,6,1,1
,0,office_chair_0,86,140,4,3,6,1,1
50,0,office_chair_0,86,90,5,3,5,1,1
50,0,office_chair_0,86,90,2,3,6,1,1
30,0,office_chair_0,86,120,2,3,6,2,4
42,0,office_chair_0,86,50,2,3,6,1,1
35,0,office_chair_0,86,50,2,3,6,1,1
,0,office_chair_0,86,120,3,6,5,2,1
30,0,office_chair_0,86,100,5,6,6,2,1
25,0,office_chair_0,86,60,1,5,5,2,1
50,0,office_chair_0,86,100,4,3,6,2,1
50,0,office_chair_0,86,125,3,3,5,1,1
40,0,office_chair_0,86,80,3,3,6,2,1
,0,office_chair_0,86,30,2,3,6,1,4
40,0,office_chair_0,86,80,2,3,5,2,1
50,0,office_chair_0,86,125,1,3,5,2,1
,0,office_chair_0,86,75,3,3,6,2,3
25,0,office_chair_0,86,45,2,3,6,2,5
,0,office_chair_0,86,35,1,3,6,1,2
,0,office_chair_0,86,70,2,3,6,1,1
,0,office_chair_0,86,75,3,3,6,1,1
,0,office_chair_0,86,50,2,3,6,3,5
,0,office_chair_0,86,100,3,2,5,1,1
20,0,office_chair_0,86,90,2,3,6,1,4
,0,office_chair_0,86,100,5,3,5,1,1
,0,office_chair_0,86,120,5,3,5,1,1
